list clients,2023-05-23 23:48:39
add room,2023-05-23 23:48:51
add room,2023-05-23 23:49:06
list rooms,2023-05-23 23:49:14
check in,2023-05-23 23:49:31
check in,2023-05-23 23:49:51
list rooms,2023-05-23 23:49:57
